task_id,description,task_type,priority,assignee,created_at,due_date,estimated_effort,user_workload
1.0,UI redesign for dashboard analytics page,Bug,Urgent,David,2025-11-29 00:00:00.000000,2024-03-30,7,29
2.0,Fix login issue when user enters wrong OTP,Task,Low,Alice,2025-11-29 00:00:00.000000,2023-05-12,15,43
3.0,Automate daily report generation,Improvement,Low,David,2025-11-29 00:00:00.000000,2025-01-24,8,21
4.0,Optimize API response time for tasks endpoint,Bug,High,Charlie,2025-11-29 00:00:00.000000,2024-09-06,7,19
5.0,Implement new payment gateway integration,Feature,Urgent,Alice,2025-11-29 00:00:00.000000,2024-05-10,11,11
6.0,Implement new payment gateway integration,Improvement,High,David,2025-11-29 00:00:00.000000,2024-11-08,4,40
7.0,Refactor codebase for maintainability,Bug,High,Alice,2025-11-29 00:00:00.000000,2023-10-09,3,22
8.0,Implement new payment gateway integration,Feature,High,David,2025-11-29 00:00:00.000000,2024-05-22,2,24
9.0,Add dark mode feature for better usability,Improvement,High,Eve,2025-11-29 00:00:00.000000,2023-07-13,12,30
10.0,UI redesign for dashboard analytics page,Feature,Medium,Alice,2025-11-29 00:00:00.000000,2024-04-07,6,2
11.0,Add dark mode feature for better usability,Improvement,High,Alice,2025-11-29 00:00:00.000000,2024-07-23,1,12
12.0,Integrate chatbot for support queries,Bug,Urgent,Alice,2025-11-29 00:00:00.000000,2024-03-04,12,25
13.0,Automate daily report generation,Feature,Urgent,Charlie,2025-11-29 00:00:00.000000,2024-04-26,17,27
14.0,Refactor codebase for maintainability,Feature,Urgent,Eve,2025-11-29 00:00:00.000000,2025-01-14,10,28
15.0,Improve search filtering for task list,Feature,Low,Charlie,2025-11-29 00:00:00.000000,2024-08-29,16,15
16.0,Improve search filtering for task list,Feature,Medium,David,2025-11-29 00:00:00.000000,2023-07-08,15,44
17.0,Improve search filtering for task list,Bug,Medium,Alice,2025-11-29 00:00:00.000000,2024-08-20,3,37
18.0,UI redesign for dashboard analytics page,Bug,Urgent,Charlie,2025-11-29 00:00:00.000000,2025-01-07,19,7
19.0,Resolve crash when uploading large files,Task,Urgent,David,2025-11-29 00:00:00.000000,2023-05-19,9,39
20.0,Optimize API response time for tasks endpoint,Task,Low,Alice,2025-11-29 00:00:00.000000,2023-01-23,18,4
21.0,Implement new payment gateway integration,Task,High,Charlie,2025-11-29 00:00:00.000000,2023-09-14,14,9
22.0,Optimize API response time for tasks endpoint,Improvement,Medium,Charlie,2025-11-29 00:00:00.000000,2024-08-29,2,20
23.0,Refactor codebase for maintainability,Bug,High,David,2025-11-29 00:00:00.000000,2023-02-12,15,7
24.0,Integrate chatbot for support queries,Task,Low,David,2025-11-29 00:00:00.000000,2025-01-02,12,8
25.0,Integrate chatbot for support queries,Improvement,High,Alice,2025-11-29 00:00:00.000000,2024-05-11,15,35
26.0,UI redesign for dashboard analytics page,Bug,Medium,Charlie,2025-11-29 00:00:00.000000,2023-10-30,14,17
27.0,Refactor codebase for maintainability,Improvement,Medium,Eve,2025-11-29 00:00:00.000000,2024-02-04,4,40
28.0,Fix login issue when user enters wrong OTP,Improvement,Medium,Bob,2025-11-29 00:00:00.000000,2023-06-14,4,2
29.0,Optimize API response time for tasks endpoint,Feature,Urgent,Charlie,2025-11-29 00:00:00.000000,2023-05-29,6,42
30.0,Fix login issue when user enters wrong OTP,Feature,High,Charlie,2025-11-29 00:00:00.000000,2023-06-03,4,29
31.0,Refactor codebase for maintainability,Task,Low,Bob,2025-11-29 00:00:00.000000,2024-12-01,18,26
32.0,Optimize API response time for tasks endpoint,Feature,Urgent,Charlie,2025-11-29 00:00:00.000000,2024-03-09,12,34
33.0,Integrate chatbot for support queries,Improvement,Low,Eve,2025-11-29 00:00:00.000000,2024-08-20,10,36
34.0,Automate daily report generation,Bug,Medium,David,2025-11-29 00:00:00.000000,2024-05-01,14,31
35.0,Implement new payment gateway integration,Improvement,Urgent,Charlie,2025-11-29 00:00:00.000000,2023-04-02,16,15
36.0,Improve search filtering for task list,Improvement,Urgent,David,2025-11-29 00:00:00.000000,2024-04-02,8,14
37.0,Improve search filtering for task list,Task,High,Charlie,2025-11-29 00:00:00.000000,2023-04-03,8,21
38.0,Resolve crash when uploading large files,Bug,Low,Charlie,2025-11-29 00:00:00.000000,2023-06-22,16,45
39.0,Integrate chatbot for support queries,Feature,Medium,Charlie,2025-11-29 00:00:00.000000,2023-07-07,18,47
40.0,Refactor codebase for maintainability,Improvement,High,Eve,2025-11-29 00:00:00.000000,2024-07-05,13,41
41.0,Add dark mode feature for better usability,Feature,Low,Charlie,2025-11-29 00:00:00.000000,2024-08-12,15,45
42.0,Add dark mode feature for better usability,Task,Low,David,2025-11-29 00:00:00.000000,2024-09-15,1,25
43.0,Implement new payment gateway integration,Task,Urgent,Charlie,2025-11-29 00:00:00.000000,2024-03-07,7,9
44.0,Automate daily report generation,Task,Low,Bob,2025-11-29 00:00:00.000000,2023-12-31,1,44
45.0,Add dark mode feature for better usability,Task,Medium,David,2025-11-29 00:00:00.000000,2023-05-21,8,24
46.0,Implement new payment gateway integration,Bug,Urgent,Eve,2025-11-29 00:00:00.000000,2024-03-19,11,17
47.0,Improve search filtering for task list,Improvement,Medium,Alice,2025-11-29 00:00:00.000000,2023-06-03,8,35
48.0,Implement new payment gateway integration,Improvement,High,Eve,2025-11-29 00:00:00.000000,2023-10-06,3,33
49.0,Refactor codebase for maintainability,Improvement,Low,David,2025-11-29 00:00:00.000000,2024-10-13,5,42
50.0,Integrate chatbot for support queries,Improvement,Low,Bob,2025-11-29 00:00:00.000000,2024-05-09,7,41
51.0,UI redesign for dashboard analytics page,Improvement,Low,David,2025-11-29 00:00:00.000000,2023-08-03,7,9
52.0,Resolve crash when uploading large files,Task,Urgent,David,2025-11-29 00:00:00.000000,2023-10-30,8,12
53.0,Optimize API response time for tasks endpoint,Task,High,David,2025-11-29 00:00:00.000000,2023-05-27,2,33
54.0,Integrate chatbot for support queries,Task,High,Charlie,2025-11-29 00:00:00.000000,2023-05-29,16,23
55.0,Refactor codebase for maintainability,Bug,Medium,Charlie,2025-11-29 00:00:00.000000,2023-11-13,5,35
56.0,UI redesign for dashboard analytics page,Improvement,High,Alice,2025-11-29 00:00:00.000000,2024-12-08,12,40
57.0,Implement new payment gateway integration,Task,High,Charlie,2025-11-29 00:00:00.000000,2023-10-02,3,1
58.0,Improve search filtering for task list,Improvement,Low,Bob,2025-11-29 00:00:00.000000,2023-05-03,3,37
59.0,Integrate chatbot for support queries,Task,Urgent,Eve,2025-11-29 00:00:00.000000,2024-04-26,15,14
60.0,Automate daily report generation,Bug,High,Bob,2025-11-29 00:00:00.000000,2024-11-25,3,1
